#options: 2940x1474 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1601 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:112 out:113 type:B dur:2 cpbdur:2 q:31.66 aq:27.85 tex:446 mv:289 misc:1089 imb:10 pmb:167 smb:16935 d:- ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:31.66 aq:20.78 tex:481 mv:4967 misc:2648 imb:278 pmb:645 smb:16189 d:- ref:0 ;
in:115 out:115 type:P dur:2 cpbdur:2 q:31.34 aq:19.67 tex:18179 mv:6051 misc:3762 imb:767 pmb:722 smb:15623 d:- ref:0 ;
in:117 out:116 type:P dur:2 cpbdur:2 q:31.21 aq:19.18 tex:15948 mv:5435 misc:3457 imb:910 pmb:455 smb:15747 d:- ref:0 ;
in:116 out:117 type:b dur:2 cpbdur:2 q:31.28 aq:18.01 tex:797 mv:6056 misc:2899 imb:462 pmb:681 smb:15969 d:- ref:0 ;
in:119 out:118 type:P dur:2 cpbdur:2 q:30.84 aq:17.95 tex:13632 mv:3346 misc:2926 imb:557 pmb:374 smb:16181 d:- ref:0 ;
in:118 out:119 type:b dur:2 cpbdur:2 q:31.02 aq:20.98 tex:881 mv:4122 misc:2637 imb:217 pmb:781 smb:16114 d:- ref:0 ;
in:120 out:120 type:P dur:2 cpbdur:2 q:30.92 aq:15.86 tex:13301 mv:4336 misc:3107 imb:580 pmb:499 smb:16033 d:- ref:0 ;
in:121 out:121 type:P dur:2 cpbdur:2 q:30.91 aq:18.29 tex:24065 mv:6221 misc:3498 imb:779 pmb:527 smb:15806 d:- ref:0 ;
in:122 out:122 type:P dur:2 cpbdur:2 q:31.22 aq:14.66 tex:13378 mv:4363 misc:2947 imb:681 pmb:407 smb:16024 d:- ref:0 ;
in:123 out:123 type:P dur:2 cpbdur:2 q:31.85 aq:15.90 tex:12315 mv:4795 misc:3026 imb:581 pmb:452 smb:16079 d:- ref:0 ;
in:124 out:124 type:P dur:2 cpbdur:2 q:32.57 aq:10.99 tex:5269 mv:4871 misc:2948 imb:766 pmb:422 smb:15924 d:- ref:0 ;
in:125 out:125 type:P dur:4 cpbdur:4 q:30.06 aq:13.91 tex:13372 mv:5044 misc:3104 imb:842 pmb:497 smb:15773 d:- ref:0 ;
in:126 out:126 type:P dur:2 cpbdur:2 q:32.41 aq:13.46 tex:12301 mv:5162 misc:3177 imb:738 pmb:505 smb:15869 d:- ref:0 ;
in:129 out:127 type:P dur:2 cpbdur:2 q:32.43 aq:14.63 tex:14080 mv:4093 misc:3059 imb:560 pmb:465 smb:16087 d:- ref:0 ;
in:127 out:128 type:B dur:2 cpbdur:2 q:32.42 aq:14.54 tex:2181 mv:4778 misc:2537 imb:399 pmb:527 smb:16186 d:- ref:0 ;
in:128 out:129 type:b dur:2 cpbdur:2 q:32.42 aq:23.34 tex:1721 mv:4201 misc:2790 imb:126 pmb:919 smb:16067 d:- ref:0 ;
in:133 out:130 type:P dur:2 cpbdur:2 q:32.28 aq:13.27 tex:20463 mv:4042 misc:3231 imb:458 pmb:591 smb:16063 d:- ref:0 ;
in:131 out:131 type:B dur:2 cpbdur:2 q:32.35 aq:20.26 tex:2037 mv:3109 misc:1918 imb:225 pmb:418 smb:16469 d:- ref:0 ;
in:130 out:132 type:b dur:2 cpbdur:2 q:32.39 aq:25.46 tex:2116 mv:1843 misc:2257 imb:19 pmb:895 smb:16198 d:- ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:32.31 aq:19.52 tex:2004 mv:1675 misc:2129 imb:55 pmb:658 smb:16399 d:- ref:0 ;
in:137 out:134 type:P dur:2 cpbdur:2 q:32.07 aq:19.53 tex:16056 mv:4233 misc:3207 imb:936 pmb:571 smb:15605 d:- ref:0 ;
in:135 out:135 type:B dur:2 cpbdur:2 q:32.17 aq:17.59 tex:436 mv:2959 misc:2693 imb:88 pmb:1091 smb:15933 d:- ref:0 ;
in:134 out:136 type:b dur:2 cpbdur:2 q:32.22 aq:18.36 tex:831 mv:3212 misc:2837 imb:61 pmb:1187 smb:15864 d:- ref:0 ;
in:136 out:137 type:b dur:2 cpbdur:2 q:32.12 aq:18.44 tex:413 mv:552 misc:2763 imb:4 pmb:1053 smb:16055 d:- ref:0 ;
in:141 out:138 type:P dur:2 cpbdur:2 q:31.81 aq:15.57 tex:17702 mv:4839 misc:3547 imb:1044 pmb:586 smb:15482 d:- ref:0 ;
in:139 out:139 type:B dur:2 cpbdur:2 q:31.94 aq:27.18 tex:79 mv:297 misc:1672 imb:1 pmb:442 smb:16669 d:- ref:0 ;
in:138 out:140 type:b dur:2 cpbdur:2 q:32.00 aq:25.45 tex:97 mv:400 misc:1567 imb:0 pmb:386 smb:16726 d:- ref:0 ;
